Customer_ID,Bandwidth_Mbps,Price_Per_Mbps,Monthly_Internet_Fee,Years_With_Company,Customer_Type,Company_Size,Strategic_Category,Strategic_Level,Has_VoIP,Monthly_VoIP_Fee,Has_Server,Server_Type,Monthly_Server_Fee,Support_Tickets_Last_Year,Downtime_Hours_Last_Year,Contract_Type
C00017,50,280000,14000000,9.0,Business,Medium,Small Business,1,1,810109.0,0,,0.0,5,7.7,Annual
C00018,150,230000,34500000,5.2,Government,Large,Government,3,1,475617.0,1,Shared,12637701.0,6,8.7,Monthly
C00019,200,250000,50000000,4.9,Business,Medium,Small Business,1,1,1014125.0,1,VPS,18311479.0,6,7.5,Monthly
C00020,150,260000,39000000,9.0,Business,Small,Small Business,1,1,1749697.0,0,,0.0,8,9.1,Annual
C00021,50,285000,14250000,7.7,Business,Medium,Small Business,1,0,0.0,1,Dedicated,14830358.0,6,6.5,Annual
C00022,30,315000,9450000,3.8,Business,Large,ISP Partner,3,1,415157.0,1,Dedicated,12812379.0,8,7.6,Monthly
C00023,10,340000,3400000,5.8,Personal,Small,Normal,0,0,0.0,0,,0.0,2,2.0,Annual
C00024,200,220000,44000000,9.6,Business,Large,University,2,1,1341148.0,0,,0.0,4,3.1,Annual
C00025,200,245000,49000000,8.7,Government,Large,Government,3,0,0.0,1,Shared,18915334.0,9,5.9,Monthly
C00026,20,305000,6100000,9.8,Personal,Small,Normal,0,0,0.0,0,,0.0,4,2.8,Annual
C00027,300,210000,63000000,6.1,Business,Large,Enterprise,2,0,0.0,1,Shared,7567635.0,6,2.0,Monthly
C00028,30,310000,9300000,4.8,Personal,Small,Normal,0,0,0.0,0,,0.0,0,1.3,Monthly
C00029,300,200000,60000000,6.4,Business,Medium,Small Business,1,1,532674.0,0,,0.0,6,7.4,Annual
C00030,30,290000,8700000,9.3,Business,Small,Small Business,1,0,0.0,1,Shared,15544269.0,6,6.5,Annual
C00031,300,230000,69000000,7.4,Business,Small,Small Business,1,0,0.0,0,,0.0,4,4.6,Annual
C00032,100,250000,25000000,7.5,Business,Small,Small Business,1,0,0.0,0,,0.0,0,2.7,Annual
C00033,10,320000,3200000,9.1,Personal,Small,Normal,0,0,0.0,0,,0.0,0,2.1,Annual
C00034,100,265000,26500000,5.3,Business,Large,ISP Partner,3,1,1879175.0,1,Shared,19063101.0,10,10.7,Annual
C00035,100,295000,29500000,4.3,Business,Small,Small Business,1,1,640925.0,0,,0.0,5,5.2,Monthly
C00036,10,325000,3250000,4.7,Personal,Small,Normal,0,0,0.0,0,,0.0,2,6.0,Monthly
C00037,20,310000,6200000,3.7,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.2,Monthly
C00038,10,360000,3600000,3.4,Personal,Small,Normal,0,0,0.0,0,,0.0,3,5.7,Monthly
C00039,10,380000,3800000,2.5,Personal,Small,Normal,0,0,0.0,0,,0.0,0,0.9,Monthly
C00040,300,200000,60000000,3.8,Business,Large,University,2,0,0.0,0,,0.0,1,2.5,Monthly
C00041,50,280000,14000000,7.6,Business,Small,Small Business,1,1,1579282.0,0,,0.0,3,8.3,Annual
C00042,300,200000,60000000,6.4,Government,Large,Government,3,1,894122.0,1,VPS,18135184.0,6,4.5,Annual
C00043,10,335000,3350000,0.5,Personal,Small,Normal,0,0,0.0,0,,0.0,7,12.3,Monthly
C00044,200,220000,44000000,0.9,Business,Small,Small Business,1,0,0.0,0,,0.0,2,5.1,Monthly
C00045,30,290000,8700000,8.7,Personal,Small,Normal,0,0,0.0,0,,0.0,1,0.9,Monthly
C00046,50,280000,14000000,1.1,Business,Medium,Small Business,1,0,0.0,0,,0.0,1,4.3,Monthly
C00047,150,270000,40500000,4.0,Business,Large,Hospital,3,1,1993812.0,0,,0.0,2,6.0,Monthly
C00048,20,335000,6700000,4.3,Personal,Small,Normal,0,0,0.0,0,,0.0,4,5.9,Monthly
C00049,20,345000,6900000,6.5,Personal,Small,Normal,0,0,0.0,0,,0.0,0,5.3,Annual
C00050,200,220000,44000000,3.0,Government,Large,Government,3,1,656838.0,1,VPS,7165951.0,6,4.4,Monthly
C00051,300,200000,60000000,5.9,Government,Large,Government,3,1,1065728.0,1,Dedicated,19944867.0,11,11.3,Annual
C00052,50,270000,13500000,9.3,Personal,Small,Normal,0,0,0.0,0,,0.0,2,2.3,Monthly
C00053,20,335000,6700000,7.4,Personal,Small,Normal,0,0,0.0,0,,0.0,2,6.9,Monthly
C00054,10,330000,3300000,1.7,Business,Small,Small Business,1,0,0.0,0,,0.0,2,6.5,Monthly
C00055,200,255000,51000000,5.4,Business,Small,Small Business,1,0,0.0,0,,0.0,7,7.0,Monthly
C00056,150,230000,34500000,9.4,Business,Small,Small Business,1,0,0.0,0,,0.0,0,0.3,Annual
C00057,30,310000,9300000,4.8,Personal,Small,Normal,0,0,0.0,0,,0.0,3,4.8,Monthly
C00058,150,230000,34500000,0.6,Government,Large,Government,3,1,1691036.0,1,VPS,16138998.0,8,8.6,Monthly
C00059,100,280000,28000000,9.8,Business,Small,Small Business,1,0,0.0,1,Dedicated,19638982.0,6,2.5,Monthly
C00060,10,350000,3500000,6.1,Personal,Small,Normal,0,0,0.0,0,,0.0,0,1.7,Annual
C00061,10,320000,3200000,7.2,Personal,Small,Normal,0,0,0.0,0,,0.0,3,8.5,Annual
C00062,150,230000,34500000,7.5,Business,Small,Small Business,1,0,0.0,0,,0.0,0,2.8,Monthly
C00063,20,315000,6300000,4.8,Personal,Small,Normal,0,0,0.0,0,,0.0,0,1.9,Monthly
C00064,30,310000,9300000,4.8,Personal,Small,Normal,0,1,1173334.0,0,,0.0,2,0.0,Monthly
C00065,10,360000,3600000,0.6,Personal,Small,Normal,0,0,0.0,0,,0.0,3,4.3,Monthly
C00066,150,245000,36750000,8.3,Business,Medium,Small Business,1,0,0.0,1,Shared,17058725.0,6,9.5,Annual
C00067,300,200000,60000000,9.3,Business,Small,Small Business,1,0,0.0,0,,0.0,2,4.9,Annual
C00068,20,300000,6000000,9.8,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.4,Monthly
C00069,10,355000,3550000,7.0,Personal,Small,Normal,0,0,0.0,0,,0.0,0,2.9,Annual
C00070,10,320000,3200000,1.9,Personal,Small,Normal,0,0,0.0,0,,0.0,0,0.0,Monthly
C00071,300,200000,60000000,4.3,Business,Large,Enterprise,2,0,0.0,0,,0.0,0,5.4,Monthly
C00072,20,300000,6000000,6.1,Business,Small,Small Business,1,1,973920.0,0,,0.0,6,6.9,Annual
C00073,150,230000,34500000,3.7,Business,Small,Small Business,1,0,0.0,0,,0.0,3,6.2,Monthly
C00074,10,325000,3250000,3.3,Personal,Small,Normal,0,0,0.0,0,,0.0,0,5.5,Monthly
C00075,50,290000,14500000,4.5,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.2,Monthly
C00076,300,200000,60000000,2.5,Business,Large,Hospital,3,1,1573805.0,1,VPS,11150648.0,8,9.4,Monthly
C00077,300,200000,60000000,8.1,Government,Large,Government,3,1,652816.0,1,VPS,6525554.0,6,8.8,Annual
C00078,300,210000,63000000,1.8,Business,Large,Hospital,3,1,1533295.0,1,Shared,8417940.0,5,4.7,Monthly
C00079,50,320000,16000000,2.1,Personal,Small,Normal,0,1,998432.0,0,,0.0,2,1.7,Monthly
C00080,10,345000,3450000,0.6,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.4,Monthly
C00081,150,260000,39000000,6.6,Business,Small,Small Business,1,0,0.0,1,VPS,17118459.0,6,4.0,Annual
C00082,200,240000,48000000,4.4,Business,Large,ISP Partner,3,1,1860295.0,1,Shared,12044963.0,6,4.7,Monthly
C00083,20,300000,6000000,7.1,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.0,Annual
C00084,100,275000,27500000,7.7,Business,Medium,Small Business,1,1,785994.0,0,,0.0,5,4.0,Annual
C00085,200,220000,44000000,2.8,Business,Large,University,2,0,0.0,0,,0.0,6,6.8,Monthly
C00086,20,300000,6000000,9.8,Personal,Small,Normal,0,0,0.0,0,,0.0,3,5.9,Annual
C00087,10,325000,3250000,2.8,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.3,Monthly
C00088,50,270000,13500000,8.5,Business,Medium,Small Business,1,0,0.0,0,,0.0,2,2.7,Annual
C00089,20,345000,6900000,3.6,Personal,Small,Normal,0,0,0.0,0,,0.0,1,6.5,Monthly
C00090,30,295000,8850000,7.6,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.1,Annual
C00091,300,200000,60000000,7.1,Business,Large,Enterprise,2,0,0.0,1,VPS,7193083.0,7,6.8,Monthly
C00092,10,320000,3200000,3.5,Business,Large,ISP Partner,3,1,1330814.0,1,Dedicated,8118345.0,9,11.5,Monthly
C00093,150,255000,38250000,1.9,Government,Large,Government,3,1,844517.0,1,Shared,16072083.0,11,9.1,Monthly
C00094,10,365000,3650000,2.5,Personal,Small,Normal,0,0,0.0,0,,0.0,2,5.2,Monthly
C00095,300,200000,60000000,6.3,Business,Large,ISP Partner,3,1,1385475.0,1,VPS,5453963.0,5,6.2,Annual
C00096,300,205000,61500000,1.5,Business,Medium,Small Business,1,1,438266.0,0,,0.0,7,8.3,Monthly
C00097,20,310000,6200000,3.1,Personal,Small,Normal,0,0,0.0,0,,0.0,0,2.0,Monthly
C00098,10,335000,3350000,6.3,Business,Large,Hospital,3,1,972656.0,1,Shared,15122774.0,8,8.6,Monthly
C00099,20,300000,6000000,8.6,Business,Large,ISP Partner,3,1,1484011.0,0,,0.0,7,7.9,Monthly
C00100,20,315000,6300000,6.4,Business,Small,Small Business,1,0,0.0,1,VPS,12410378.0,6,8.3,Monthly
C00101,50,295000,14750000,6.3,Business,Medium,Small Business,1,0,0.0,0,,0.0,0,3.6,Annual
C00102,20,340000,6800000,0.7,Personal,Small,Normal,0,0,0.0,0,,0.0,1,5.3,Monthly
C00103,10,320000,3200000,8.8,Personal,Small,Normal,0,0,0.0,0,,0.0,3,3.6,Annual
C00104,10,370000,3700000,7.4,Personal,Small,Normal,0,0,0.0,0,,0.0,1,7.9,Annual
C00105,20,335000,6700000,3.5,Personal,Small,Normal,0,0,0.0,0,,0.0,5,8.1,Monthly
C00106,300,230000,69000000,2.0,Business,Small,Small Business,1,1,1050302.0,0,,0.0,2,3.6,Monthly
C00107,100,295000,29500000,3.5,Business,Small,Small Business,1,0,0.0,0,,0.0,3,4.8,Monthly
C00108,300,240000,72000000,0.8,Government,Large,Government,3,0,0.0,1,VPS,10573498.0,6,9.9,Monthly
C00109,10,360000,3600000,5.2,Personal,Small,Normal,0,0,0.0,0,,0.0,3,9.1,Annual
C00110,50,315000,15750000,4.3,Business,Medium,Small Business,1,1,1686329.0,0,,0.0,5,5.2,Monthly
C00111,20,300000,6000000,8.2,Personal,Small,Normal,0,0,0.0,0,,0.0,5,8.7,Monthly
C00112,10,350000,3500000,0.2,Personal,Small,Normal,0,0,0.0,0,,0.0,2,3.2,Monthly
C00113,100,260000,26000000,7.1,Government,Large,Government,3,1,1131356.0,1,VPS,19328703.0,8,11.7,Monthly
C00114,300,200000,60000000,5.0,Government,Large,Government,3,1,1119462.0,1,Shared,17892137.0,9,12.0,Monthly
C00115,200,220000,44000000,7.3,Business,Medium,Small Business,1,0,0.0,0,,0.0,5,10.1,Monthly
C00116,100,255000,25500000,7.0,Business,Medium,Small Business,1,1,1237183.0,0,,0.0,5,6.1,Monthly
C00117,20,335000,6700000,7.3,Personal,Small,Normal,0,0,0.0,0,,0.0,0,0.0,Monthly
C00118,200,250000,50000000,6.4,Business,Large,ISP Partner,3,0,0.0,0,,0.0,4,8.4,Monthly
C00119,10,335000,3350000,4.8,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.1,Monthly
C00120,300,210000,63000000,6.8,Business,Medium,Small Business,1,0,0.0,0,,0.0,2,4.7,Annual
C00121,30,340000,10200000,1.6,Personal,Small,Normal,0,0,0.0,0,,0.0,1,2.8,Monthly
C00122,10,360000,3600000,9.6,Personal,Small,Normal,0,0,0.0,0,,0.0,0,5.8,Annual
C00123,50,270000,13500000,5.8,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.7,Annual
C00124,200,235000,47000000,4.7,Government,Large,Government,3,1,1374244.0,1,Shared,7652487.0,9,7.1,Monthly
C00125,10,335000,3350000,4.2,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.4,Monthly
C00126,20,300000,6000000,8.6,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.6,Monthly
C00127,30,310000,9300000,9.8,Personal,Small,Normal,0,0,0.0,0,,0.0,0,5.9,Annual
C00128,150,230000,34500000,7.7,Government,Large,Government,3,1,1946311.0,1,Shared,7975143.0,5,5.2,Annual
C00129,20,345000,6900000,4.8,Business,Small,Small Business,1,0,0.0,0,,0.0,3,2.4,Monthly
C00130,20,300000,6000000,8.8,Personal,Small,Normal,0,1,1569492.0,0,,0.0,2,8.4,Annual
C00131,100,250000,25000000,5.5,Business,Medium,Small Business,1,1,673275.0,0,,0.0,2,4.2,Annual
C00132,200,220000,44000000,4.7,Business,Medium,Small Business,1,0,0.0,0,,0.0,3,1.2,Monthly
C00133,10,340000,3400000,0.9,Personal,Small,Normal,0,0,0.0,0,,0.0,1,5.9,Monthly
C00134,100,260000,26000000,4.6,Business,Large,ISP Partner,3,1,1025260.0,1,VPS,14635827.0,9,9.2,Monthly
C00135,20,340000,6800000,8.3,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.6,Annual
C00136,10,355000,3550000,5.7,Business,Medium,Small Business,1,0,0.0,1,VPS,15652633.0,10,8.2,Annual
C00137,10,365000,3650000,4.8,Personal,Small,Normal,0,0,0.0,0,,0.0,1,0.0,Monthly
C00138,200,260000,52000000,2.2,Government,Large,Government,3,1,311116.0,0,,0.0,10,5.6,Monthly
C00139,20,350000,7000000,6.7,Business,Large,University,2,0,0.0,0,,0.0,2,5.3,Annual
C00140,200,235000,47000000,3.0,Government,Large,Government,3,1,844684.0,1,Shared,4860688.0,10,7.6,Monthly
C00141,50,300000,15000000,10.0,Personal,Small,Normal,0,0,0.0,0,,0.0,2,4.7,Monthly
C00142,30,310000,9300000,2.1,Business,Small,Small Business,1,0,0.0,0,,0.0,2,4.4,Monthly
C00143,300,200000,60000000,9.8,Business,Large,Enterprise,2,0,0.0,1,VPS,14268476.0,5,4.2,Monthly
C00144,100,250000,25000000,6.5,Government,Large,Government,3,0,0.0,1,Shared,13235114.0,8,6.1,Annual
C00145,20,340000,6800000,8.6,Personal,Small,Normal,0,0,0.0,0,,0.0,0,0.0,Annual
C00146,150,230000,34500000,5.0,Business,Medium,Small Business,1,0,0.0,0,,0.0,5,4.5,Monthly
C00147,200,220000,44000000,5.0,Business,Small,Small Business,1,1,602921.0,1,Dedicated,13988752.0,10,8.3,Monthly
C00148,150,230000,34500000,2.3,Business,Medium,Small Business,1,1,1696903.0,0,,0.0,4,4.8,Monthly
C00149,20,310000,6200000,5.2,Personal,Small,Normal,0,0,0.0,0,,0.0,1,4.1,Annual
C00150,100,250000,25000000,2.6,Government,Large,Government,3,1,793198.0,0,,0.0,3,5.1,Monthly
C00151,10,335000,3350000,4.4,Personal,Small,Normal,0,0,0.0,0,,0.0,0,7.0,Monthly
C00152,20,340000,6800000,3.6,Business,Large,Enterprise,2,0,0.0,0,,0.0,4,5.9,Monthly
C00153,100,250000,25000000,8.4,Business,Small,Small Business,1,1,472249.0,0,,0.0,7,5.4,Annual
C00154,100,305000,30500000,1.5,Business,Large,Enterprise,2,0,0.0,1,VPS,16227008.0,5,7.1,Monthly
C00155,10,320000,3200000,1.2,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.6,Monthly
C00156,50,270000,13500000,5.0,Business,Medium,Small Business,1,0,0.0,0,,0.0,3,6.7,Monthly
C00157,100,285000,28500000,3.2,Business,Medium,Small Business,1,0,0.0,0,,0.0,5,4.3,Monthly
C00158,10,340000,3400000,2.9,Personal,Small,Normal,0,0,0.0,0,,0.0,1,6.1,Monthly
C00159,150,265000,39750000,7.3,Business,Large,ISP Partner,3,1,1249984.0,1,VPS,2098464.0,8,8.1,Annual
C00160,30,290000,8700000,6.4,Personal,Small,Normal,0,0,0.0,0,,0.0,4,2.7,Annual
C00161,150,260000,39000000,8.5,Business,Large,ISP Partner,3,1,594299.0,1,Shared,10713501.0,8,5.9,Annual
C00162,100,305000,30500000,1.4,Government,Large,Government,3,1,1095742.0,1,Dedicated,6314476.0,6,4.2,Monthly
C00163,30,310000,9300000,5.1,Personal,Small,Normal,0,1,1448154.0,0,,0.0,3,6.5,Monthly
C00164,200,225000,45000000,5.9,Business,Large,University,2,0,0.0,0,,0.0,6,8.1,Annual
C00165,30,315000,9450000,4.3,Personal,Small,Normal,0,0,0.0,0,,0.0,2,6.3,Monthly
C00166,50,320000,16000000,4.3,Personal,Small,Normal,0,0,0.0,0,,0.0,0,2.2,Monthly
C00167,200,265000,53000000,0.7,Business,Large,Hospital,3,0,0.0,1,Shared,17304822.0,8,8.6,Monthly
C00168,10,370000,3700000,2.4,Personal,Small,Normal,0,0,0.0,0,,0.0,0,0.5,Monthly
C00169,300,200000,60000000,8.1,Business,Small,Small Business,1,0,0.0,0,,0.0,0,1.5,Annual
C00170,300,230000,69000000,6.4,Government,Large,Government,3,1,1173551.0,1,VPS,14799987.0,6,8.6,Annual
C00171,30,320000,9600000,9.1,Personal,Small,Normal,0,0,0.0,0,,0.0,0,0.0,Annual
C00172,10,365000,3650000,3.8,Personal,Small,Normal,0,0,0.0,0,,0.0,2,5.7,Monthly
C00173,10,320000,3200000,8.7,Personal,Small,Normal,0,0,0.0,0,,0.0,0,0.0,Monthly
C00174,30,315000,9450000,6.0,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.8,Monthly
C00175,20,310000,6200000,8.9,Personal,Small,Normal,0,0,0.0,0,,0.0,2,2.0,Monthly
C00176,150,230000,34500000,7.4,Business,Small,Small Business,1,0,0.0,0,,0.0,4,2.2,Monthly
C00177,300,225000,67500000,3.4,Business,Large,University,2,1,632515.0,0,,0.0,5,4.4,Monthly
C00178,20,335000,6700000,9.8,Personal,Small,Normal,0,0,0.0,0,,0.0,3,2.4,Monthly
C00179,150,245000,36750000,5.4,Business,Medium,Small Business,1,1,1296101.0,1,Shared,10493421.0,9,9.3,Annual
C00180,20,300000,6000000,5.0,Personal,Small,Normal,0,0,0.0,0,,0.0,0,0.0,Monthly
C00181,20,345000,6900000,3.1,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.2,Monthly
C00182,50,295000,14750000,2.9,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.1,Monthly
C00183,50,270000,13500000,5.9,Personal,Small,Normal,0,0,0.0,0,,0.0,0,1.5,Annual
C00184,10,345000,3450000,5.8,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.5,Monthly
C00185,300,235000,70500000,4.4,Business,Medium,Small Business,1,0,0.0,0,,0.0,0,3.4,Monthly
C00186,10,360000,3600000,7.2,Personal,Small,Normal,0,0,0.0,0,,0.0,2,2.8,Annual
C00187,30,310000,9300000,5.8,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.6,Annual
C00188,10,320000,3200000,5.4,Personal,Small,Normal,0,0,0.0,0,,0.0,4,6.6,Monthly
C00189,100,250000,25000000,8.7,Business,Medium,Small Business,1,0,0.0,0,,0.0,3,5.5,Monthly
C00190,10,320000,3200000,1.9,Personal,Small,Normal,0,0,0.0,0,,0.0,1,4.3,Monthly
C00191,30,325000,9750000,1.3,Personal,Small,Normal,0,0,0.0,0,,0.0,0,0.0,Monthly
C00192,10,345000,3450000,1.3,Personal,Small,Normal,0,0,0.0,0,,0.0,3,7.9,Monthly
C00193,20,300000,6000000,4.4,Personal,Small,Normal,0,0,0.0,0,,0.0,0,1.5,Monthly
C00194,150,255000,38250000,4.0,Business,Small,Small Business,1,0,0.0,1,Dedicated,11137389.0,8,7.8,Monthly
C00195,150,275000,41250000,1.3,Government,Large,Government,3,1,1014446.0,1,Shared,18054618.0,6,5.4,Monthly
C00196,10,345000,3450000,9.0,Personal,Small,Normal,0,0,0.0,0,,0.0,2,1.1,Monthly
C00197,30,310000,9300000,1.4,Personal,Small,Normal,0,0,0.0,0,,0.0,0,2.4,Monthly
C00198,30,345000,10350000,0.9,Personal,Small,Normal,0,1,1428433.0,0,,0.0,2,4.7,Monthly
C00199,100,275000,27500000,3.7,Business,Large,University,2,0,0.0,0,,0.0,1,2.2,Monthly
C00200,20,305000,6100000,2.9,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.4,Monthly
C00201,150,235000,35250000,5.7,Business,Large,Hospital,3,1,1513623.0,1,VPS,2459801.0,5,2.1,Monthly
C00202,100,250000,25000000,4.6,Business,Small,Small Business,1,1,1162332.0,1,Shared,12882860.0,7,5.7,Monthly
C00203,150,230000,34500000,2.9,Government,Large,Government,3,1,1925786.0,1,Dedicated,4039856.0,6,6.9,Monthly
C00204,10,335000,3350000,1.0,Personal,Small,Normal,0,0,0.0,0,,0.0,3,8.3,Monthly
C00205,10,320000,3200000,5.4,Personal,Small,Normal,0,0,0.0,0,,0.0,1,0.1,Annual
C00206,30,290000,8700000,8.7,Personal,Small,Normal,0,0,0.0,0,,0.0,3,7.6,Annual
C00207,300,205000,61500000,7.8,Business,Medium,Small Business,1,0,0.0,0,,0.0,2,1.7,Monthly
C00208,300,200000,60000000,7.2,Business,Medium,Small Business,1,1,1326128.0,0,,0.0,5,4.6,Monthly
C00209,20,325000,6500000,3.0,Business,Medium,Small Business,1,0,0.0,1,VPS,12927111.0,4,3.2,Monthly
C00210,300,245000,73500000,0.4,Business,Small,Small Business,1,0,0.0,0,,0.0,4,4.3,Monthly
C00211,50,275000,13750000,9.4,Personal,Small,Normal,0,0,0.0,0,,0.0,1,4.2,Annual
C00212,30,350000,10500000,1.7,Personal,Small,Normal,0,0,0.0,0,,0.0,1,4.6,Monthly
C00213,10,320000,3200000,8.9,Personal,Small,Normal,0,0,0.0,0,,0.0,0,2.5,Annual
C00214,50,280000,14000000,7.4,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.2,Annual
C00215,20,300000,6000000,5.5,Personal,Small,Normal,0,1,1930142.0,0,,0.0,2,3.7,Monthly
C00216,30,325000,9750000,8.6,Personal,Small,Normal,0,0,0.0,0,,0.0,3,4.8,Annual
C00217,20,310000,6200000,1.4,Personal,Small,Normal,0,0,0.0,0,,0.0,0,1.2,Monthly
C00218,10,350000,3500000,1.2,Personal,Small,Normal,0,0,0.0,0,,0.0,4,8.9,Monthly
C00219,150,230000,34500000,9.3,Business,Medium,Small Business,1,1,1441156.0,1,VPS,6814910.0,5,9.2,Monthly
C00220,300,210000,63000000,0.8,Government,Large,Government,3,1,443145.0,1,VPS,10906362.0,8,9.0,Monthly
C00221,30,315000,9450000,7.2,Business,Medium,Small Business,1,1,1164180.0,1,Dedicated,9967745.0,6,6.5,Annual
C00222,10,330000,3300000,2.2,Personal,Small,Normal,0,0,0.0,0,,0.0,0,2.1,Monthly
C00223,10,370000,3700000,5.0,Personal,Small,Normal,0,0,0.0,0,,0.0,0,2.4,Monthly
C00224,50,305000,15250000,8.6,Personal,Small,Normal,0,0,0.0,0,,0.0,0,1.7,Annual
C00225,50,320000,16000000,1.7,Personal,Small,Normal,0,0,0.0,0,,0.0,0,5.8,Monthly
C00226,20,325000,6500000,3.9,Business,Large,Hospital,3,1,1753089.0,1,Dedicated,3951040.0,8,11.5,Monthly
C00227,10,360000,3600000,6.6,Personal,Small,Normal,0,1,1495443.0,0,,0.0,3,4.2,Annual
C00228,50,270000,13500000,9.9,Business,Medium,Small Business,1,0,0.0,1,Dedicated,3660075.0,5,8.2,Annual
C00229,300,205000,61500000,6.8,Business,Large,Enterprise,2,0,0.0,1,Shared,5395359.0,3,2.3,Monthly
C00230,100,255000,25500000,2.9,Business,Large,ISP Partner,3,1,618053.0,1,VPS,8199321.0,5,6.6,Monthly
C00231,100,290000,29000000,3.2,Government,Large,Government,3,1,1883186.0,1,Dedicated,12679326.0,5,6.9,Monthly
C00232,10,320000,3200000,6.4,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.6,Monthly
C00233,20,335000,6700000,3.8,Personal,Small,Normal,0,0,0.0,0,,0.0,2,4.2,Monthly
C00234,20,350000,7000000,1.4,Personal,Small,Normal,0,0,0.0,0,,0.0,4,6.2,Monthly
C00235,10,320000,3200000,3.3,Personal,Small,Normal,0,0,0.0,0,,0.0,0,2.1,Monthly
C00236,10,370000,3700000,8.5,Personal,Small,Normal,0,0,0.0,0,,0.0,0,2.8,Annual
C00237,150,275000,41250000,0.7,Business,Large,ISP Partner,3,1,1013655.0,1,Shared,16198033.0,10,11.1,Monthly
C00238,150,255000,38250000,3.2,Business,Large,Enterprise,2,0,0.0,0,,0.0,5,4.0,Monthly
C00239,30,315000,9450000,0.5,Business,Large,Enterprise,2,1,770516.0,0,,0.0,5,8.0,Monthly
C00240,10,330000,3300000,4.4,Personal,Small,Normal,0,0,0.0,0,,0.0,2,6.2,Monthly
C00241,10,375000,3750000,3.9,Personal,Small,Normal,0,0,0.0,0,,0.0,1,2.8,Monthly
C00242,10,335000,3350000,6.4,Business,Large,Hospital,3,1,1442411.0,1,Dedicated,12041108.0,11,7.5,Annual
C00243,150,230000,34500000,3.0,Business,Large,Hospital,3,1,1517378.0,1,VPS,2701298.0,5,9.9,Monthly
C00244,100,280000,28000000,5.1,Government,Large,Government,3,1,684835.0,1,Shared,14800338.0,5,3.1,Monthly
C00245,100,300000,30000000,2.8,Business,Large,University,2,1,1671160.0,0,,0.0,8,6.3,Monthly
C00246,20,300000,6000000,2.1,Personal,Small,Normal,0,0,0.0,0,,0.0,1,5.0,Monthly
