Customer_ID,Bandwidth_Mbps,Price_Per_Mbps,Monthly_Internet_Fee,Years_With_Company,Customer_Type,Company_Size,Strategic_Category,Strategic_Level,Has_VoIP,Monthly_VoIP_Fee,Has_Server,Server_Type,Monthly_Server_Fee,Support_Tickets_Last_Year,Downtime_Hours_Last_Year,Contract_Type,Total_Monthly_Revenue,Number_of_Services,High_Value
C00016,100,250000,25000000,4.4,Business,Medium,Small Business,1,1,1383897.0,0,,0.0,3,4.7,Monthly,26383897.0,2,0
C00017,50,280000,14000000,9.0,Business,Medium,Small Business,1,1,810109.0,0,,0.0,5,7.7,Annual,14810109.0,2,0
C00018,150,230000,34500000,5.2,Government,Large,Government,3,1,475617.0,1,Shared,12637701.0,6,8.7,Monthly,47613318.0,3,1
C00019,200,250000,50000000,4.9,Business,Medium,Small Business,1,1,1014125.0,1,VPS,18311479.0,6,7.5,Monthly,69325604.0,3,1
C00020,150,260000,39000000,9.0,Business,Small,Small Business,1,1,1749697.0,0,,0.0,8,9.1,Annual,40749697.0,2,0
C00021,50,285000,14250000,7.7,Business,Medium,Small Business,1,0,0.0,1,Dedicated,14830358.0,6,6.5,Annual,29080358.0,2,0
C00022,30,315000,9450000,3.8,Business,Large,ISP Partner,3,1,415157.0,1,Dedicated,12812379.0,8,7.6,Monthly,22677536.0,3,0
C00023,10,340000,3400000,5.8,Personal,Small,Normal,0,0,0.0,0,,0.0,2,2.0,Annual,3400000.0,1,0
C00024,200,220000,44000000,9.6,Business,Large,University,2,1,1341148.0,0,,0.0,4,3.1,Annual,45341148.0,2,1
C00025,200,245000,49000000,8.7,Government,Large,Government,3,0,0.0,1,Shared,18915334.0,9,5.9,Monthly,67915334.0,2,1
C00026,20,305000,6100000,9.8,Personal,Small,Normal,0,0,0.0,0,,0.0,4,2.8,Annual,6100000.0,1,0
C00027,300,210000,63000000,6.1,Business,Large,Enterprise,2,0,0.0,1,Shared,7567635.0,6,2.0,Monthly,70567635.0,2,1
C00028,30,310000,9300000,4.8,Personal,Small,Normal,0,0,0.0,0,,0.0,0,1.3,Monthly,9300000.0,1,0
C00029,300,200000,60000000,6.4,Business,Medium,Small Business,1,1,532674.0,0,,0.0,6,7.4,Annual,60532674.0,2,1
C00030,30,290000,8700000,9.3,Business,Small,Small Business,1,0,0.0,1,Shared,15544269.0,6,6.5,Annual,24244269.0,2,0
C00031,300,230000,69000000,7.4,Business,Small,Small Business,1,0,0.0,0,,0.0,4,4.6,Annual,69000000.0,1,1
C00032,100,250000,25000000,7.5,Business,Small,Small Business,1,0,0.0,0,,0.0,0,2.7,Annual,25000000.0,1,0
C00033,10,320000,3200000,9.1,Personal,Small,Normal,0,0,0.0,0,,0.0,0,2.1,Annual,3200000.0,1,0
C00034,100,265000,26500000,5.3,Business,Large,ISP Partner,3,1,1879175.0,1,Shared,19063101.0,10,10.7,Annual,47442276.0,3,1
C00035,100,295000,29500000,4.3,Business,Small,Small Business,1,1,640925.0,0,,0.0,5,5.2,Monthly,30140925.0,2,0
C00036,10,325000,3250000,4.7,Personal,Small,Normal,0,0,0.0,0,,0.0,2,6.0,Monthly,3250000.0,1,0
C00037,20,310000,6200000,3.7,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.2,Monthly,6200000.0,1,0
C00038,10,360000,3600000,3.4,Personal,Small,Normal,0,0,0.0,0,,0.0,3,5.7,Monthly,3600000.0,1,0
C00039,10,380000,3800000,2.5,Personal,Small,Normal,0,0,0.0,0,,0.0,0,0.9,Monthly,3800000.0,1,0
C00040,300,200000,60000000,3.8,Business,Large,University,2,0,0.0,0,,0.0,1,2.5,Monthly,60000000.0,1,1
C00041,50,280000,14000000,7.6,Business,Small,Small Business,1,1,1579282.0,0,,0.0,3,8.3,Annual,15579282.0,2,0
C00042,300,200000,60000000,6.4,Government,Large,Government,3,1,894122.0,1,VPS,18135184.0,6,4.5,Annual,79029306.0,3,1
C00043,10,335000,3350000,0.5,Personal,Small,Normal,0,0,0.0,0,,0.0,7,12.3,Monthly,3350000.0,1,0
C00044,200,220000,44000000,0.9,Business,Small,Small Business,1,0,0.0,0,,0.0,2,5.1,Monthly,44000000.0,1,1
C00045,30,290000,8700000,8.7,Personal,Small,Normal,0,0,0.0,0,,0.0,1,0.9,Monthly,8700000.0,1,0
C00046,50,280000,14000000,1.1,Business,Medium,Small Business,1,0,0.0,0,,0.0,1,4.3,Monthly,14000000.0,1,0
C00047,150,270000,40500000,4.0,Business,Large,Hospital,3,1,1993812.0,0,,0.0,2,6.0,Monthly,42493812.0,2,0
C00048,20,335000,6700000,4.3,Personal,Small,Normal,0,0,0.0,0,,0.0,4,5.9,Monthly,6700000.0,1,0
C00049,20,345000,6900000,6.5,Personal,Small,Normal,0,0,0.0,0,,0.0,0,5.3,Annual,6900000.0,1,0
C00050,200,220000,44000000,3.0,Government,Large,Government,3,1,656838.0,1,VPS,7165951.0,6,4.4,Monthly,51822789.0,3,1
C00051,300,200000,60000000,5.9,Government,Large,Government,3,1,1065728.0,1,Dedicated,19944867.0,11,11.3,Annual,81010595.0,3,1
C00052,50,270000,13500000,9.3,Personal,Small,Normal,0,0,0.0,0,,0.0,2,2.3,Monthly,13500000.0,1,0
C00053,20,335000,6700000,7.4,Personal,Small,Normal,0,0,0.0,0,,0.0,2,6.9,Monthly,6700000.0,1,0
C00054,10,330000,3300000,1.7,Business,Small,Small Business,1,0,0.0,0,,0.0,2,6.5,Monthly,3300000.0,1,0
C00055,200,255000,51000000,5.4,Business,Small,Small Business,1,0,0.0,0,,0.0,7,7.0,Monthly,51000000.0,1,1
C00056,150,230000,34500000,9.4,Business,Small,Small Business,1,0,0.0,0,,0.0,0,0.3,Annual,34500000.0,1,0
C00057,30,310000,9300000,4.8,Personal,Small,Normal,0,0,0.0,0,,0.0,3,4.8,Monthly,9300000.0,1,0
C00058,150,230000,34500000,0.6,Government,Large,Government,3,1,1691036.0,1,VPS,16138998.0,8,8.6,Monthly,52330034.0,3,1
C00059,100,280000,28000000,9.8,Business,Small,Small Business,1,0,0.0,1,Dedicated,19638982.0,6,2.5,Monthly,47638982.0,2,1
C00060,10,350000,3500000,6.1,Personal,Small,Normal,0,0,0.0,0,,0.0,0,1.7,Annual,3500000.0,1,0
C00061,10,320000,3200000,7.2,Personal,Small,Normal,0,0,0.0,0,,0.0,3,8.5,Annual,3200000.0,1,0
C00062,150,230000,34500000,7.5,Business,Small,Small Business,1,0,0.0,0,,0.0,0,2.8,Monthly,34500000.0,1,0
C00063,20,315000,6300000,4.8,Personal,Small,Normal,0,0,0.0,0,,0.0,0,1.9,Monthly,6300000.0,1,0
C00064,30,310000,9300000,4.8,Personal,Small,Normal,0,1,1173334.0,0,,0.0,2,0.0,Monthly,10473334.0,2,0
C00065,10,360000,3600000,0.6,Personal,Small,Normal,0,0,0.0,0,,0.0,3,4.3,Monthly,3600000.0,1,0
C00066,150,245000,36750000,8.3,Business,Medium,Small Business,1,0,0.0,1,Shared,17058725.0,6,9.5,Annual,53808725.0,2,1
C00067,300,200000,60000000,9.3,Business,Small,Small Business,1,0,0.0,0,,0.0,2,4.9,Annual,60000000.0,1,1
C00068,20,300000,6000000,9.8,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.4,Monthly,6000000.0,1,0
C00069,10,355000,3550000,7.0,Personal,Small,Normal,0,0,0.0,0,,0.0,0,2.9,Annual,3550000.0,1,0
C00070,10,320000,3200000,1.9,Personal,Small,Normal,0,0,0.0,0,,0.0,0,0.0,Monthly,3200000.0,1,0
C00071,300,200000,60000000,4.3,Business,Large,Enterprise,2,0,0.0,0,,0.0,0,5.4,Monthly,60000000.0,1,1
C00072,20,300000,6000000,6.1,Business,Small,Small Business,1,1,973920.0,0,,0.0,6,6.9,Annual,6973920.0,2,0
C00073,150,230000,34500000,3.7,Business,Small,Small Business,1,0,0.0,0,,0.0,3,6.2,Monthly,34500000.0,1,0
C00074,10,325000,3250000,3.3,Personal,Small,Normal,0,0,0.0,0,,0.0,0,5.5,Monthly,3250000.0,1,0
C00075,50,290000,14500000,4.5,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.2,Monthly,14500000.0,1,0
C00076,300,200000,60000000,2.5,Business,Large,Hospital,3,1,1573805.0,1,VPS,11150648.0,8,9.4,Monthly,72724453.0,3,1
C00077,300,200000,60000000,8.1,Government,Large,Government,3,1,652816.0,1,VPS,6525554.0,6,8.8,Annual,67178370.0,3,1
C00078,300,210000,63000000,1.8,Business,Large,Hospital,3,1,1533295.0,1,Shared,8417940.0,5,4.7,Monthly,72951235.0,3,1
C00079,50,320000,16000000,2.1,Personal,Small,Normal,0,1,998432.0,0,,0.0,2,1.7,Monthly,16998432.0,2,0
C00080,10,345000,3450000,0.6,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.4,Monthly,3450000.0,1,0
C00081,150,260000,39000000,6.6,Business,Small,Small Business,1,0,0.0,1,VPS,17118459.0,6,4.0,Annual,56118459.0,2,1
C00082,200,240000,48000000,4.4,Business,Large,ISP Partner,3,1,1860295.0,1,Shared,12044963.0,6,4.7,Monthly,61905258.0,3,1
C00083,20,300000,6000000,7.1,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.0,Annual,6000000.0,1,0
C00084,100,275000,27500000,7.7,Business,Medium,Small Business,1,1,785994.0,0,,0.0,5,4.0,Annual,28285994.0,2,0
C00085,200,220000,44000000,2.8,Business,Large,University,2,0,0.0,0,,0.0,6,6.8,Monthly,44000000.0,1,1
C00086,20,300000,6000000,9.8,Personal,Small,Normal,0,0,0.0,0,,0.0,3,5.9,Annual,6000000.0,1,0
C00087,10,325000,3250000,2.8,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.3,Monthly,3250000.0,1,0
C00088,50,270000,13500000,8.5,Business,Medium,Small Business,1,0,0.0,0,,0.0,2,2.7,Annual,13500000.0,1,0
C00089,20,345000,6900000,3.6,Personal,Small,Normal,0,0,0.0,0,,0.0,1,6.5,Monthly,6900000.0,1,0
C00090,30,295000,8850000,7.6,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.1,Annual,8850000.0,1,0
C00091,300,200000,60000000,7.1,Business,Large,Enterprise,2,0,0.0,1,VPS,7193083.0,7,6.8,Monthly,67193083.0,2,1
C00092,10,320000,3200000,3.5,Business,Large,ISP Partner,3,1,1330814.0,1,Dedicated,8118345.0,9,11.5,Monthly,12649159.0,3,0
C00093,150,255000,38250000,1.9,Government,Large,Government,3,1,844517.0,1,Shared,16072083.0,11,9.1,Monthly,55166600.0,3,1
C00094,10,365000,3650000,2.5,Personal,Small,Normal,0,0,0.0,0,,0.0,2,5.2,Monthly,3650000.0,1,0
C00095,300,200000,60000000,6.3,Business,Large,ISP Partner,3,1,1385475.0,1,VPS,5453963.0,5,6.2,Annual,66839438.0,3,1
C00096,300,205000,61500000,1.5,Business,Medium,Small Business,1,1,438266.0,0,,0.0,7,8.3,Monthly,61938266.0,2,1
C00097,20,310000,6200000,3.1,Personal,Small,Normal,0,0,0.0,0,,0.0,0,2.0,Monthly,6200000.0,1,0
C00098,10,335000,3350000,6.3,Business,Large,Hospital,3,1,972656.0,1,Shared,15122774.0,8,8.6,Monthly,19445430.0,3,0
C00099,20,300000,6000000,8.6,Business,Large,ISP Partner,3,1,1484011.0,0,,0.0,7,7.9,Monthly,7484011.0,2,0
C00100,20,315000,6300000,6.4,Business,Small,Small Business,1,0,0.0,1,VPS,12410378.0,6,8.3,Monthly,18710378.0,2,0
C00101,50,295000,14750000,6.3,Business,Medium,Small Business,1,0,0.0,0,,0.0,0,3.6,Annual,14750000.0,1,0
C00102,20,340000,6800000,0.7,Personal,Small,Normal,0,0,0.0,0,,0.0,1,5.3,Monthly,6800000.0,1,0
C00103,10,320000,3200000,8.8,Personal,Small,Normal,0,0,0.0,0,,0.0,3,3.6,Annual,3200000.0,1,0
C00104,10,370000,3700000,7.4,Personal,Small,Normal,0,0,0.0,0,,0.0,1,7.9,Annual,3700000.0,1,0
C00105,20,335000,6700000,3.5,Personal,Small,Normal,0,0,0.0,0,,0.0,5,8.1,Monthly,6700000.0,1,0
C00106,300,230000,69000000,2.0,Business,Small,Small Business,1,1,1050302.0,0,,0.0,2,3.6,Monthly,70050302.0,2,1
C00107,100,295000,29500000,3.5,Business,Small,Small Business,1,0,0.0,0,,0.0,3,4.8,Monthly,29500000.0,1,0
C00108,300,240000,72000000,0.8,Government,Large,Government,3,0,0.0,1,VPS,10573498.0,6,9.9,Monthly,82573498.0,2,1
C00109,10,360000,3600000,5.2,Personal,Small,Normal,0,0,0.0,0,,0.0,3,9.1,Annual,3600000.0,1,0
C00110,50,315000,15750000,4.3,Business,Medium,Small Business,1,1,1686329.0,0,,0.0,5,5.2,Monthly,17436329.0,2,0
C00111,20,300000,6000000,8.2,Personal,Small,Normal,0,0,0.0,0,,0.0,5,8.7,Monthly,6000000.0,1,0
C00112,10,350000,3500000,0.2,Personal,Small,Normal,0,0,0.0,0,,0.0,2,3.2,Monthly,3500000.0,1,0
C00113,100,260000,26000000,7.1,Government,Large,Government,3,1,1131356.0,1,VPS,19328703.0,8,11.7,Monthly,46460059.0,3,1
C00114,300,200000,60000000,5.0,Government,Large,Government,3,1,1119462.0,1,Shared,17892137.0,9,12.0,Monthly,79011599.0,3,1
C00115,200,220000,44000000,7.3,Business,Medium,Small Business,1,0,0.0,0,,0.0,5,10.1,Monthly,44000000.0,1,1
C00116,100,255000,25500000,7.0,Business,Medium,Small Business,1,1,1237183.0,0,,0.0,5,6.1,Monthly,26737183.0,2,0
C00117,20,335000,6700000,7.3,Personal,Small,Normal,0,0,0.0,0,,0.0,0,0.0,Monthly,6700000.0,1,0
C00118,200,250000,50000000,6.4,Business,Large,ISP Partner,3,0,0.0,0,,0.0,4,8.4,Monthly,50000000.0,1,1
C00119,10,335000,3350000,4.8,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.1,Monthly,3350000.0,1,0
C00120,300,210000,63000000,6.8,Business,Medium,Small Business,1,0,0.0,0,,0.0,2,4.7,Annual,63000000.0,1,1
C00121,30,340000,10200000,1.6,Personal,Small,Normal,0,0,0.0,0,,0.0,1,2.8,Monthly,10200000.0,1,0
C00122,10,360000,3600000,9.6,Personal,Small,Normal,0,0,0.0,0,,0.0,0,5.8,Annual,3600000.0,1,0
C00123,50,270000,13500000,5.8,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.7,Annual,13500000.0,1,0
C00124,200,235000,47000000,4.7,Government,Large,Government,3,1,1374244.0,1,Shared,7652487.0,9,7.1,Monthly,56026731.0,3,1
C00125,10,335000,3350000,4.2,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.4,Monthly,3350000.0,1,0
C00126,20,300000,6000000,8.6,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.6,Monthly,6000000.0,1,0
C00127,30,310000,9300000,9.8,Personal,Small,Normal,0,0,0.0,0,,0.0,0,5.9,Annual,9300000.0,1,0
C00128,150,230000,34500000,7.7,Government,Large,Government,3,1,1946311.0,1,Shared,7975143.0,5,5.2,Annual,44421454.0,3,1
C00129,20,345000,6900000,4.8,Business,Small,Small Business,1,0,0.0,0,,0.0,3,2.4,Monthly,6900000.0,1,0
C00130,20,300000,6000000,8.8,Personal,Small,Normal,0,1,1569492.0,0,,0.0,2,8.4,Annual,7569492.0,2,0
C00131,100,250000,25000000,5.5,Business,Medium,Small Business,1,1,673275.0,0,,0.0,2,4.2,Annual,25673275.0,2,0
C00132,200,220000,44000000,4.7,Business,Medium,Small Business,1,0,0.0,0,,0.0,3,1.2,Monthly,44000000.0,1,1
C00133,10,340000,3400000,0.9,Personal,Small,Normal,0,0,0.0,0,,0.0,1,5.9,Monthly,3400000.0,1,0
C00134,100,260000,26000000,4.6,Business,Large,ISP Partner,3,1,1025260.0,1,VPS,14635827.0,9,9.2,Monthly,41661087.0,3,0
C00135,20,340000,6800000,8.3,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.6,Annual,6800000.0,1,0
C00136,10,355000,3550000,5.7,Business,Medium,Small Business,1,0,0.0,1,VPS,15652633.0,10,8.2,Annual,19202633.0,2,0
C00137,10,365000,3650000,4.8,Personal,Small,Normal,0,0,0.0,0,,0.0,1,0.0,Monthly,3650000.0,1,0
C00138,200,260000,52000000,2.2,Government,Large,Government,3,1,311116.0,0,,0.0,10,5.6,Monthly,52311116.0,2,1
C00139,20,350000,7000000,6.7,Business,Large,University,2,0,0.0,0,,0.0,2,5.3,Annual,7000000.0,1,0
C00140,200,235000,47000000,3.0,Government,Large,Government,3,1,844684.0,1,Shared,4860688.0,10,7.6,Monthly,52705372.0,3,1
C00141,50,300000,15000000,10.0,Personal,Small,Normal,0,0,0.0,0,,0.0,2,4.7,Monthly,15000000.0,1,0
C00142,30,310000,9300000,2.1,Business,Small,Small Business,1,0,0.0,0,,0.0,2,4.4,Monthly,9300000.0,1,0
C00143,300,200000,60000000,9.8,Business,Large,Enterprise,2,0,0.0,1,VPS,14268476.0,5,4.2,Monthly,74268476.0,2,1
C00144,100,250000,25000000,6.5,Government,Large,Government,3,0,0.0,1,Shared,13235114.0,8,6.1,Annual,38235114.0,2,0
C00145,20,340000,6800000,8.6,Personal,Small,Normal,0,0,0.0,0,,0.0,0,0.0,Annual,6800000.0,1,0
C00146,150,230000,34500000,5.0,Business,Medium,Small Business,1,0,0.0,0,,0.0,5,4.5,Monthly,34500000.0,1,0
C00147,200,220000,44000000,5.0,Business,Small,Small Business,1,1,602921.0,1,Dedicated,13988752.0,10,8.3,Monthly,58591673.0,3,1
C00148,150,230000,34500000,2.3,Business,Medium,Small Business,1,1,1696903.0,0,,0.0,4,4.8,Monthly,36196903.0,2,0
C00149,20,310000,6200000,5.2,Personal,Small,Normal,0,0,0.0,0,,0.0,1,4.1,Annual,6200000.0,1,0
C00150,100,250000,25000000,2.6,Government,Large,Government,3,1,793198.0,0,,0.0,3,5.1,Monthly,25793198.0,2,0
C00151,10,335000,3350000,4.4,Personal,Small,Normal,0,0,0.0,0,,0.0,0,7.0,Monthly,3350000.0,1,0
C00152,20,340000,6800000,3.6,Business,Large,Enterprise,2,0,0.0,0,,0.0,4,5.9,Monthly,6800000.0,1,0
C00153,100,250000,25000000,8.4,Business,Small,Small Business,1,1,472249.0,0,,0.0,7,5.4,Annual,25472249.0,2,0
C00154,100,305000,30500000,1.5,Business,Large,Enterprise,2,0,0.0,1,VPS,16227008.0,5,7.1,Monthly,46727008.0,2,1
C00155,10,320000,3200000,1.2,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.6,Monthly,3200000.0,1,0
C00156,50,270000,13500000,5.0,Business,Medium,Small Business,1,0,0.0,0,,0.0,3,6.7,Monthly,13500000.0,1,0
C00157,100,285000,28500000,3.2,Business,Medium,Small Business,1,0,0.0,0,,0.0,5,4.3,Monthly,28500000.0,1,0
C00158,10,340000,3400000,2.9,Personal,Small,Normal,0,0,0.0,0,,0.0,1,6.1,Monthly,3400000.0,1,0
C00159,150,265000,39750000,7.3,Business,Large,ISP Partner,3,1,1249984.0,1,VPS,2098464.0,8,8.1,Annual,43098448.0,3,0
C00160,30,290000,8700000,6.4,Personal,Small,Normal,0,0,0.0,0,,0.0,4,2.7,Annual,8700000.0,1,0
C00161,150,260000,39000000,8.5,Business,Large,ISP Partner,3,1,594299.0,1,Shared,10713501.0,8,5.9,Annual,50307800.0,3,1
C00162,100,305000,30500000,1.4,Government,Large,Government,3,1,1095742.0,1,Dedicated,6314476.0,6,4.2,Monthly,37910218.0,3,0
C00163,30,310000,9300000,5.1,Personal,Small,Normal,0,1,1448154.0,0,,0.0,3,6.5,Monthly,10748154.0,2,0
C00164,200,225000,45000000,5.9,Business,Large,University,2,0,0.0,0,,0.0,6,8.1,Annual,45000000.0,1,1
C00165,30,315000,9450000,4.3,Personal,Small,Normal,0,0,0.0,0,,0.0,2,6.3,Monthly,9450000.0,1,0
C00166,50,320000,16000000,4.3,Personal,Small,Normal,0,0,0.0,0,,0.0,0,2.2,Monthly,16000000.0,1,0
C00167,200,265000,53000000,0.7,Business,Large,Hospital,3,0,0.0,1,Shared,17304822.0,8,8.6,Monthly,70304822.0,2,1
C00168,10,370000,3700000,2.4,Personal,Small,Normal,0,0,0.0,0,,0.0,0,0.5,Monthly,3700000.0,1,0
C00169,300,200000,60000000,8.1,Business,Small,Small Business,1,0,0.0,0,,0.0,0,1.5,Annual,60000000.0,1,1
C00170,300,230000,69000000,6.4,Government,Large,Government,3,1,1173551.0,1,VPS,14799987.0,6,8.6,Annual,84973538.0,3,1
C00171,30,320000,9600000,9.1,Personal,Small,Normal,0,0,0.0,0,,0.0,0,0.0,Annual,9600000.0,1,0
C00172,10,365000,3650000,3.8,Personal,Small,Normal,0,0,0.0,0,,0.0,2,5.7,Monthly,3650000.0,1,0
C00173,10,320000,3200000,8.7,Personal,Small,Normal,0,0,0.0,0,,0.0,0,0.0,Monthly,3200000.0,1,0
C00174,30,315000,9450000,6.0,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.8,Monthly,9450000.0,1,0
C00175,20,310000,6200000,8.9,Personal,Small,Normal,0,0,0.0,0,,0.0,2,2.0,Monthly,6200000.0,1,0
C00176,150,230000,34500000,7.4,Business,Small,Small Business,1,0,0.0,0,,0.0,4,2.2,Monthly,34500000.0,1,0
C00177,300,225000,67500000,3.4,Business,Large,University,2,1,632515.0,0,,0.0,5,4.4,Monthly,68132515.0,2,1
C00178,20,335000,6700000,9.8,Personal,Small,Normal,0,0,0.0,0,,0.0,3,2.4,Monthly,6700000.0,1,0
C00179,150,245000,36750000,5.4,Business,Medium,Small Business,1,1,1296101.0,1,Shared,10493421.0,9,9.3,Annual,48539522.0,3,1
C00180,20,300000,6000000,5.0,Personal,Small,Normal,0,0,0.0,0,,0.0,0,0.0,Monthly,6000000.0,1,0
C00181,20,345000,6900000,3.1,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.2,Monthly,6900000.0,1,0
C00182,50,295000,14750000,2.9,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.1,Monthly,14750000.0,1,0
C00183,50,270000,13500000,5.9,Personal,Small,Normal,0,0,0.0,0,,0.0,0,1.5,Annual,13500000.0,1,0
C00184,10,345000,3450000,5.8,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.5,Monthly,3450000.0,1,0
C00185,300,235000,70500000,4.4,Business,Medium,Small Business,1,0,0.0,0,,0.0,0,3.4,Monthly,70500000.0,1,1
C00186,10,360000,3600000,7.2,Personal,Small,Normal,0,0,0.0,0,,0.0,2,2.8,Annual,3600000.0,1,0
C00187,30,310000,9300000,5.8,Personal,Small,Normal,0,0,0.0,0,,0.0,0,3.6,Annual,9300000.0,1,0
C00188,10,320000,3200000,5.4,Personal,Small,Normal,0,0,0.0,0,,0.0,4,6.6,Monthly,3200000.0,1,0
C00189,100,250000,25000000,8.7,Business,Medium,Small Business,1,0,0.0,0,,0.0,3,5.5,Monthly,25000000.0,1,0
C00190,10,320000,3200000,1.9,Personal,Small,Normal,0,0,0.0,0,,0.0,1,4.3,Monthly,3200000.0,1,0
C00191,30,325000,9750000,1.3,Personal,Small,Normal,0,0,0.0,0,,0.0,0,0.0,Monthly,9750000.0,1,0
C00192,10,345000,3450000,1.3,Personal,Small,Normal,0,0,0.0,0,,0.0,3,7.9,Monthly,3450000.0,1,0
C00193,20,300000,6000000,4.4,Personal,Small,Normal,0,0,0.0,0,,0.0,0,1.5,Monthly,6000000.0,1,0
C00194,150,255000,38250000,4.0,Business,Small,Small Business,1,0,0.0,1,Dedicated,11137389.0,8,7.8,Monthly,49387389.0,2,1
C00195,150,275000,41250000,1.3,Government,Large,Government,3,1,1014446.0,1,Shared,18054618.0,6,5.4,Monthly,60319064.0,3,1
C00196,10,345000,3450000,9.0,Personal,Small,Normal,0,0,0.0,0,,0.0,2,1.1,Monthly,3450000.0,1,0
C00197,30,310000,9300000,1.4,Personal,Small,Normal,0,0,0.0,0,,0.0,0,2.4,Monthly,9300000.0,1,0
C00198,30,345000,10350000,0.9,Personal,Small,Normal,0,1,1428433.0,0,,0.0,2,4.7,Monthly,11778433.0,2,0
C00199,100,275000,27500000,3.7,Business,Large,University,2,0,0.0,0,,0.0,1,2.2,Monthly,27500000.0,1,0
C00200,20,305000,6100000,2.9,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.4,Monthly,6100000.0,1,0
C00201,150,235000,35250000,5.7,Business,Large,Hospital,3,1,1513623.0,1,VPS,2459801.0,5,2.1,Monthly,39223424.0,3,0
C00202,100,250000,25000000,4.6,Business,Small,Small Business,1,1,1162332.0,1,Shared,12882860.0,7,5.7,Monthly,39045192.0,3,0
C00203,150,230000,34500000,2.9,Government,Large,Government,3,1,1925786.0,1,Dedicated,4039856.0,6,6.9,Monthly,40465642.0,3,0
C00204,10,335000,3350000,1.0,Personal,Small,Normal,0,0,0.0,0,,0.0,3,8.3,Monthly,3350000.0,1,0
C00205,10,320000,3200000,5.4,Personal,Small,Normal,0,0,0.0,0,,0.0,1,0.1,Annual,3200000.0,1,0
C00206,30,290000,8700000,8.7,Personal,Small,Normal,0,0,0.0,0,,0.0,3,7.6,Annual,8700000.0,1,0
C00207,300,205000,61500000,7.8,Business,Medium,Small Business,1,0,0.0,0,,0.0,2,1.7,Monthly,61500000.0,1,1
C00208,300,200000,60000000,7.2,Business,Medium,Small Business,1,1,1326128.0,0,,0.0,5,4.6,Monthly,61326128.0,2,1
