Customer_ID,Bandwidth_Mbps,Price_Per_Mbps,Monthly_Internet_Fee,Years_With_Company,Customer_Type,Company_Size,Strategic_Category,Strategic_Level,Has_VoIP,Monthly_VoIP_Fee,Has_Server,Server_Type,Monthly_Server_Fee,Support_Tickets_Last_Year,Downtime_Hours_Last_Year,Contract_Type,Total_Monthly_Revenue,Number_of_Services,High_Value,Revenue_Score,Strategic_Score,Services_Score,Company_Size_Score,Customer_Priority_Score
C00022,30,315000,9450000,3.8,Business,Large,ISP Partner,3,1,415157.0,1,Dedicated,12812379.0,8,7.6,Monthly,22677536.0,3,0,13.7993434011428,63.6,63.2,56.8,37.6196717005714
C00024,200,220000,44000000,9.6,Business,Large,University,2,1,1341148.0,0,,0.0,4,3.1,Annual,45341148.0,2,1,29.855941355743465,43.8,35.6,56.8,37.54797067787173
C00025,200,245000,49000000,8.7,Government,Large,Government,3,0,0.0,1,Shared,18915334.0,9,5.9,Monthly,67915334.0,2,1,45.84918324297552,63.6,35.6,56.8,49.50459162148776
C00027,300,210000,63000000,6.1,Business,Large,Enterprise,2,0,0.0,1,Shared,7567635.0,6,2.0,Monthly,70567635.0,2,1,47.72827166063751,43.8,35.6,56.8,46.48413583031875
C00029,300,200000,60000000,6.4,Business,Medium,Small Business,1,1,532674.0,0,,0.0,6,7.4,Annual,60532674.0,2,1,40.618754683948296,26.0,35.6,26.2,34.77937734197415
C00030,30,290000,8700000,9.3,Business,Small,Small Business,1,0,0.0,1,Shared,15544269.0,6,6.5,Annual,24244269.0,2,0,14.909334248286026,26.0,35.6,25.8,21.864667124143015
C00031,300,230000,69000000,7.4,Business,Small,Small Business,1,0,0.0,0,,0.0,4,4.6,Annual,69000000.0,1,1,46.617641769225656,26.0,27.5,25.8,36.50382088461283
C00032,100,250000,25000000,7.5,Business,Small,Small Business,1,0,0.0,0,,0.0,0,2.7,Annual,25000000.0,1,0,15.444750616551964,26.0,27.5,25.8,20.917375308275982
C00034,100,265000,26500000,5.3,Business,Large,ISP Partner,3,1,1879175.0,1,Shared,19063101.0,10,10.7,Annual,47442276.0,3,1,31.344537593057897,63.6,63.2,56.8,46.39226879652895
C00035,100,295000,29500000,4.3,Business,Small,Small Business,1,1,640925.0,0,,0.0,5,5.2,Monthly,30140925.0,2,0,19.086966422212395,26.0,35.6,25.8,23.9534832111062
C00040,300,200000,60000000,3.8,Business,Large,University,2,0,0.0,0,,0.0,1,2.5,Monthly,60000000.0,1,1,40.24136857890604,43.8,27.5,56.8,41.525684289453025
C00041,50,280000,14000000,7.6,Business,Small,Small Business,1,1,1579282.0,0,,0.0,3,8.3,Annual,15579282.0,2,0,8.77040932577847,26.0,35.6,25.8,18.795204662889237
C00042,300,200000,60000000,6.4,Government,Large,Government,3,1,894122.0,1,VPS,18135184.0,6,4.5,Annual,79029306.0,3,1,53.72315232092696,63.6,63.2,56.8,57.58157616046347
C00044,200,220000,44000000,0.9,Business,Small,Small Business,1,0,0.0,0,,0.0,2,5.1,Monthly,44000000.0,1,1,28.9057717961156,26.0,27.5,25.8,27.6478858980578
C00046,50,280000,14000000,1.1,Business,Medium,Small Business,1,0,0.0,0,,0.0,1,4.3,Monthly,14000000.0,1,0,7.651527828383542,26.0,27.5,26.2,17.08076391419177
C00047,150,270000,40500000,4.0,Business,Large,Hospital,3,1,1993812.0,0,,0.0,2,6.0,Monthly,42493812.0,2,0,27.838675555673255,63.6,35.6,56.8,40.49933777783663
C00050,200,220000,44000000,3.0,Government,Large,Government,3,1,656838.0,1,VPS,7165951.0,6,4.4,Monthly,51822789.0,3,1,34.448020659918626,63.6,63.2,56.8,47.94401032995931
C00051,300,200000,60000000,5.9,Government,Large,Government,3,1,1065728.0,1,Dedicated,19944867.0,11,11.3,Annual,81010595.0,3,1,55.12684564681309,63.6,63.2,56.8,58.28342282340654
C00054,10,330000,3300000,1.7,Business,Small,Small Business,1,0,0.0,0,,0.0,2,6.5,Monthly,3300000.0,1,0,0.07084747989244056,26.0,27.5,25.8,13.230423739946222
C00055,200,255000,51000000,5.4,Business,Small,Small Business,1,0,0.0,0,,0.0,7,7.0,Monthly,51000000.0,1,1,33.86509538858642,26.0,27.5,25.8,30.12754769429321
C00056,150,230000,34500000,9.4,Business,Small,Small Business,1,0,0.0,0,,0.0,0,0.3,Annual,34500000.0,1,0,22.175261206333783,26.0,27.5,25.8,24.282630603166893
C00058,150,230000,34500000,0.6,Government,Large,Government,3,1,1691036.0,1,VPS,16138998.0,8,8.6,Monthly,52330034.0,3,1,34.807390959299035,63.6,63.2,56.8,48.12369547964951
C00059,100,280000,28000000,9.8,Business,Small,Small Business,1,0,0.0,1,Dedicated,19638982.0,6,2.5,Monthly,47638982.0,2,1,31.483898836855122,26.0,35.6,25.8,30.151949418427563
C00062,150,230000,34500000,7.5,Business,Small,Small Business,1,0,0.0,0,,0.0,0,2.8,Monthly,34500000.0,1,0,22.175261206333783,26.0,27.5,25.8,24.282630603166893
C00066,150,245000,36750000,8.3,Business,Medium,Small Business,1,0,0.0,1,Shared,17058725.0,6,9.5,Annual,53808725.0,2,1,35.85500626819536,26.0,35.6,26.2,32.397503134097676
C00067,300,200000,60000000,9.3,Business,Small,Small Business,1,0,0.0,0,,0.0,2,4.9,Annual,60000000.0,1,1,40.24136857890604,26.0,27.5,25.8,33.31568428945302
C00071,300,200000,60000000,4.3,Business,Large,Enterprise,2,0,0.0,0,,0.0,0,5.4,Monthly,60000000.0,1,1,40.24136857890604,43.8,27.5,56.8,41.525684289453025
C00072,20,300000,6000000,6.1,Business,Small,Small Business,1,1,973920.0,0,,0.0,6,6.9,Annual,6973920.0,2,0,2.6737272131567797,26.0,35.6,25.8,15.74686360657839
C00073,150,230000,34500000,3.7,Business,Small,Small Business,1,0,0.0,0,,0.0,3,6.2,Monthly,34500000.0,1,0,22.175261206333783,26.0,27.5,25.8,24.282630603166893
C00076,300,200000,60000000,2.5,Business,Large,Hospital,3,1,1573805.0,1,VPS,11150648.0,8,9.4,Monthly,72724453.0,3,1,49.256322859504046,63.6,63.2,56.8,55.348161429752025
C00077,300,200000,60000000,8.1,Government,Large,Government,3,1,652816.0,1,VPS,6525554.0,6,8.8,Annual,67178370.0,3,1,45.327062821260995,63.6,63.2,56.8,53.383531410630496
C00078,300,210000,63000000,1.8,Business,Large,Hospital,3,1,1533295.0,1,Shared,8417940.0,5,4.7,Monthly,72951235.0,3,1,49.416992191353714,63.6,63.2,56.8,55.42849609567685
C00081,150,260000,39000000,6.6,Business,Small,Small Business,1,0,0.0,1,VPS,17118459.0,6,4.0,Annual,56118459.0,2,1,37.491394599414214,26.0,35.6,25.8,33.15569729970711
C00082,200,240000,48000000,4.4,Business,Large,ISP Partner,3,1,1860295.0,1,Shared,12044963.0,6,4.7,Monthly,61905258.0,3,1,41.591195857355146,63.6,63.2,56.8,51.515597928677565
C00084,100,275000,27500000,7.7,Business,Medium,Small Business,1,1,785994.0,0,,0.0,5,4.0,Annual,28285994.0,2,0,17.772794554968755,26.0,35.6,26.2,23.356397277484376
C00085,200,220000,44000000,2.8,Business,Large,University,2,0,0.0,0,,0.0,6,6.8,Monthly,44000000.0,1,1,28.9057717961156,43.8,27.5,56.8,35.8578858980578
C00088,50,270000,13500000,8.5,Business,Medium,Small Business,1,0,0.0,0,,0.0,2,2.7,Annual,13500000.0,1,0,7.2972904289213405,26.0,27.5,26.2,16.90364521446067
C00091,300,200000,60000000,7.1,Business,Large,Enterprise,2,0,0.0,1,VPS,7193083.0,7,6.8,Monthly,67193083.0,2,1,45.33748661097757,43.8,35.6,56.8,45.28874330548878
C00092,10,320000,3200000,3.5,Business,Large,ISP Partner,3,1,1330814.0,1,Dedicated,8118345.0,9,11.5,Monthly,12649159.0,3,0,6.6944910225297045,63.6,63.2,56.8,34.06724551126486
C00093,150,255000,38250000,1.9,Government,Large,Government,3,1,844517.0,1,Shared,16072083.0,11,9.1,Monthly,55166600.0,3,1,36.81702648578484,63.6,63.2,56.8,49.12851324289241
C00095,300,200000,60000000,6.3,Business,Large,ISP Partner,3,1,1385475.0,1,VPS,5453963.0,5,6.2,Annual,66839438.0,3,1,45.08693804071195,63.6,63.2,56.8,53.26346902035597
C00096,300,205000,61500000,1.5,Business,Medium,Small Business,1,1,438266.0,0,,0.0,7,8.3,Monthly,61938266.0,2,1,41.61458119351804,26.0,35.6,26.2,35.277290596759016
C00098,10,335000,3350000,6.3,Business,Large,Hospital,3,1,972656.0,1,Shared,15122774.0,8,8.6,Monthly,19445430.0,3,0,11.509477752690447,63.6,63.2,56.8,36.47473887634523
C00099,20,300000,6000000,8.6,Business,Large,ISP Partner,3,1,1484011.0,0,,0.0,7,7.9,Monthly,7484011.0,2,0,3.035113831814926,63.6,35.6,56.8,28.097556915907465
C00100,20,315000,6300000,6.4,Business,Small,Small Business,1,0,0.0,1,VPS,12410378.0,6,8.3,Monthly,18710378.0,2,0,10.988711934791468,26.0,35.6,25.8,19.904355967395734
C00101,50,295000,14750000,6.3,Business,Medium,Small Business,1,0,0.0,0,,0.0,0,3.6,Annual,14750000.0,1,0,8.182883927576842,26.0,27.5,26.2,17.346441963788422
C00106,300,230000,69000000,2.0,Business,Small,Small Business,1,1,1050302.0,0,,0.0,2,3.6,Monthly,70050302.0,2,1,47.36175426748555,26.0,35.6,25.8,38.09087713374277
C00107,100,295000,29500000,3.5,Business,Small,Small Business,1,0,0.0,0,,0.0,3,4.8,Monthly,29500000.0,1,0,18.632887211711772,26.0,27.5,25.8,22.511443605855888
C00108,300,240000,72000000,0.8,Government,Large,Government,3,0,0.0,1,VPS,10573498.0,6,9.9,Monthly,82573498.0,2,1,56.23412303547643,63.6,35.6,56.8,54.697061517738206
C00110,50,315000,15750000,4.3,Business,Medium,Small Business,1,1,1686329.0,0,,0.0,5,5.2,Monthly,17436329.0,2,0,10.086080325696635,26.0,35.6,26.2,19.513040162848316
C00113,100,260000,26000000,7.1,Government,Large,Government,3,1,1131356.0,1,VPS,19328703.0,8,11.7,Monthly,46460059.0,3,1,30.648661601482768,63.6,63.2,56.8,46.04433080074138
C00114,300,200000,60000000,5.0,Government,Large,Government,3,1,1119462.0,1,Shared,17892137.0,9,12.0,Monthly,79011599.0,3,1,53.710607357662404,63.6,63.2,56.8,57.575303678831204
C00115,200,220000,44000000,7.3,Business,Medium,Small Business,1,0,0.0,0,,0.0,5,10.1,Monthly,44000000.0,1,1,28.9057717961156,26.0,27.5,26.2,27.7078858980578
C00116,100,255000,25500000,7.0,Business,Medium,Small Business,1,1,1237183.0,0,,0.0,5,6.1,Monthly,26737183.0,2,0,16.675500993171852,26.0,35.6,26.2,22.807750496585925
C00118,200,250000,50000000,6.4,Business,Large,ISP Partner,3,0,0.0,0,,0.0,4,8.4,Monthly,50000000.0,1,1,33.15662058966202,63.6,27.5,56.8,41.94331029483101
C00120,300,210000,63000000,6.8,Business,Medium,Small Business,1,0,0.0,0,,0.0,2,4.7,Annual,63000000.0,1,1,42.366792975679246,26.0,27.5,26.2,34.438396487839626
C00124,200,235000,47000000,4.7,Government,Large,Government,3,1,1374244.0,1,Shared,7652487.0,9,7.1,Monthly,56026731.0,3,1,37.42640762305848,63.6,63.2,56.8,49.43320381152924
C00128,150,230000,34500000,7.7,Government,Large,Government,3,1,1946311.0,1,Shared,7975143.0,5,5.2,Annual,44421454.0,3,1,29.20436133402149,63.6,63.2,56.8,45.32218066701074
C00129,20,345000,6900000,4.8,Business,Small,Small Business,1,0,0.0,0,,0.0,3,2.4,Monthly,6900000.0,1,0,2.6213567560202877,26.0,27.5,25.8,14.505678378010145
C00131,100,250000,25000000,5.5,Business,Medium,Small Business,1,1,673275.0,0,,0.0,2,4.2,Annual,25673275.0,2,0,15.921748986797791,26.0,35.6,26.2,22.430874493398896
C00132,200,220000,44000000,4.7,Business,Medium,Small Business,1,0,0.0,0,,0.0,3,1.2,Monthly,44000000.0,1,1,28.9057717961156,26.0,27.5,26.2,27.7078858980578
C00134,100,260000,26000000,4.6,Business,Large,ISP Partner,3,1,1025260.0,1,VPS,14635827.0,9,9.2,Monthly,41661087.0,3,0,27.248710878738933,63.6,63.2,56.8,44.344355439369465
C00136,10,355000,3550000,5.7,Business,Medium,Small Business,1,0,0.0,1,VPS,15652633.0,10,8.2,Annual,19202633.0,2,0,11.337462196936002,26.0,35.6,26.2,20.138731098468
C00138,200,260000,52000000,2.2,Government,Large,Government,3,1,311116.0,0,,0.0,10,5.6,Monthly,52311116.0,2,1,34.79398803305298,63.6,35.6,56.8,43.97699401652649
C00139,20,350000,7000000,6.7,Business,Large,University,2,0,0.0,0,,0.0,2,5.3,Annual,7000000.0,1,0,2.692204235912728,43.8,27.5,56.8,22.751102117956364
C00140,200,235000,47000000,3.0,Government,Large,Government,3,1,844684.0,1,Shared,4860688.0,10,7.6,Monthly,52705372.0,3,1,35.07330847337772,63.6,63.2,56.8,48.25665423668886
C00142,30,310000,9300000,2.1,Business,Small,Small Business,1,0,0.0,0,,0.0,2,4.4,Monthly,9300000.0,1,0,4.321696273438852,26.0,27.5,25.8,15.355848136719427
C00143,300,200000,60000000,9.8,Business,Large,Enterprise,2,0,0.0,1,VPS,14268476.0,5,4.2,Monthly,74268476.0,2,1,50.350224243963694,43.8,35.6,56.8,47.795112121981845
C00144,100,250000,25000000,6.5,Government,Large,Government,3,0,0.0,1,Shared,13235114.0,8,6.1,Annual,38235114.0,2,0,24.821495346443502,63.6,35.6,56.8,38.99074767322175
C00146,150,230000,34500000,5.0,Business,Medium,Small Business,1,0,0.0,0,,0.0,5,4.5,Monthly,34500000.0,1,0,22.175261206333783,26.0,27.5,26.2,24.342630603166892
C00147,200,220000,44000000,5.0,Business,Small,Small Business,1,1,602921.0,1,Dedicated,13988752.0,10,8.3,Monthly,58591673.0,3,1,39.243604390761234,26.0,63.2,25.8,38.171802195380614
C00148,150,230000,34500000,2.3,Business,Medium,Small Business,1,1,1696903.0,0,,0.0,4,4.8,Monthly,36196903.0,2,0,23.377474218053,26.0,35.6,26.2,26.1587371090265
C00150,100,250000,25000000,2.6,Government,Large,Government,3,1,793198.0,0,,0.0,3,5.1,Monthly,25793198.0,2,0,16.0067114101092,63.6,35.6,56.8,34.5833557050546
C00152,20,340000,6800000,3.6,Business,Large,Enterprise,2,0,0.0,0,,0.0,4,5.9,Monthly,6800000.0,1,0,2.5505092761278476,43.8,27.5,56.8,22.68025463806392
C00153,100,250000,25000000,8.4,Business,Small,Small Business,1,1,472249.0,0,,0.0,7,5.4,Annual,25472249.0,2,0,15.779327131869213,26.0,35.6,25.8,22.29966356593461
C00154,100,305000,30500000,1.5,Business,Large,Enterprise,2,0,0.0,1,VPS,16227008.0,5,7.1,Monthly,46727008.0,2,1,30.83778824058084,43.8,35.6,56.8,38.03889412029042
C00156,50,270000,13500000,5.0,Business,Medium,Small Business,1,0,0.0,0,,0.0,3,6.7,Monthly,13500000.0,1,0,7.2972904289213405,26.0,27.5,26.2,16.90364521446067
C00157,100,285000,28500000,3.2,Business,Medium,Small Business,1,0,0.0,0,,0.0,5,4.3,Monthly,28500000.0,1,0,17.92441241278737,26.0,27.5,26.2,22.217206206393683
C00159,150,265000,39750000,7.3,Business,Large,ISP Partner,3,1,1249984.0,1,VPS,2098464.0,8,8.1,Annual,43098448.0,3,0,28.26704492419571,63.6,63.2,56.8,44.85352246209786
C00161,150,260000,39000000,8.5,Business,Large,ISP Partner,3,1,594299.0,1,Shared,10713501.0,8,5.9,Annual,50307800.0,3,1,33.374689132770946,63.6,63.2,56.8,47.407344566385476
C00162,100,305000,30500000,1.4,Government,Large,Government,3,1,1095742.0,1,Dedicated,6314476.0,6,4.2,Monthly,37910218.0,3,0,24.59131471817216,63.6,63.2,56.8,43.01565735908608
C00164,200,225000,45000000,5.9,Business,Large,University,2,0,0.0,0,,0.0,6,8.1,Annual,45000000.0,1,1,29.614246595040004,43.8,27.5,56.8,36.21212329752
C00167,200,265000,53000000,0.7,Business,Large,Hospital,3,0,0.0,1,Shared,17304822.0,8,8.6,Monthly,70304822.0,2,1,47.542075273307795,63.6,35.6,56.8,50.3510376366539
C00169,300,200000,60000000,8.1,Business,Small,Small Business,1,0,0.0,0,,0.0,0,1.5,Annual,60000000.0,1,1,40.24136857890604,26.0,27.5,25.8,33.31568428945302
C00170,300,230000,69000000,6.4,Government,Large,Government,3,1,1173551.0,1,VPS,14799987.0,6,8.6,Annual,84973538.0,3,1,57.93449089188695,63.6,63.2,56.8,59.687245445943475
C00176,150,230000,34500000,7.4,Business,Small,Small Business,1,0,0.0,0,,0.0,4,2.2,Monthly,34500000.0,1,0,22.175261206333783,26.0,27.5,25.8,24.282630603166893
C00177,300,225000,67500000,3.4,Business,Large,University,2,1,632515.0,0,,0.0,5,4.4,Monthly,68132515.0,2,1,46.00305050828072,43.8,35.6,56.8,45.62152525414035
C00179,150,245000,36750000,5.4,Business,Medium,Small Business,1,1,1296101.0,1,Shared,10493421.0,9,9.3,Annual,48539522.0,3,1,32.121908732278506,26.0,63.2,26.2,34.670954366139256
C00185,300,235000,70500000,4.4,Business,Medium,Small Business,1,0,0.0,0,,0.0,0,3.4,Monthly,70500000.0,1,1,47.68035396761226,26.0,27.5,26.2,37.095176983806134
C00189,100,250000,25000000,8.7,Business,Medium,Small Business,1,0,0.0,0,,0.0,3,5.5,Monthly,25000000.0,1,0,15.444750616551964,26.0,27.5,26.2,20.97737530827598
C00194,150,255000,38250000,4.0,Business,Small,Small Business,1,0,0.0,1,Dedicated,11137389.0,8,7.8,Monthly,49387389.0,2,1,32.72260113461814,26.0,35.6,25.8,30.77130056730907
C00195,150,275000,41250000,1.3,Government,Large,Government,3,1,1014446.0,1,Shared,18054618.0,6,5.4,Monthly,60319064.0,3,1,40.46741738215005,63.6,63.2,56.8,50.95370869107502
C00199,100,275000,27500000,3.7,Business,Large,University,2,0,0.0,0,,0.0,1,2.2,Monthly,27500000.0,1,0,17.21593761386297,43.8,27.5,56.8,30.012968806931486
C00201,150,235000,35250000,5.7,Business,Large,Hospital,3,1,1513623.0,1,VPS,2459801.0,5,2.1,Monthly,39223424.0,3,0,25.521688074968477,63.6,63.2,56.8,43.48084403748423
C00202,100,250000,25000000,4.6,Business,Small,Small Business,1,1,1162332.0,1,Shared,12882860.0,7,5.7,Monthly,39045192.0,3,0,25.395415194606585,26.0,63.2,25.8,31.247707597303293
C00203,150,230000,34500000,2.9,Government,Large,Government,3,1,1925786.0,1,Dedicated,4039856.0,6,6.9,Monthly,40465642.0,3,0,26.40176822273875,63.6,63.2,56.8,43.920884111369375
C00207,300,205000,61500000,7.8,Business,Medium,Small Business,1,0,0.0,0,,0.0,2,1.7,Monthly,61500000.0,1,1,41.30408077729264,26.0,27.5,26.2,33.90704038864632
C00208,300,200000,60000000,7.2,Business,Medium,Small Business,1,1,1326128.0,0,,0.0,5,4.6,Monthly,61326128.0,2,1,41.18089684705406,26.0,35.6,26.2,35.06044842352703
C00209,20,325000,6500000,3.0,Business,Medium,Small Business,1,0,0.0,1,VPS,12927111.0,4,3.2,Monthly,19427111.0,2,0,11.496499202848952,26.0,35.6,26.2,20.218249601424475
C00210,300,245000,73500000,0.4,Business,Small,Small Business,1,0,0.0,0,,0.0,4,4.3,Monthly,73500000.0,1,1,49.80577836438547,26.0,27.5,25.8,38.09788918219273
C00219,150,230000,34500000,9.3,Business,Medium,Small Business,1,1,1441156.0,1,VPS,6814910.0,5,9.2,Monthly,42756066.0,3,0,28.024475905590375,26.0,63.2,26.2,32.62223795279519
C00220,300,210000,63000000,0.8,Government,Large,Government,3,1,443145.0,1,VPS,10906362.0,8,9.0,Monthly,74349507.0,3,1,50.40763266539534,63.6,63.2,56.8,55.92381633269767
C00221,30,315000,9450000,7.2,Business,Medium,Small Business,1,1,1164180.0,1,Dedicated,9967745.0,6,6.5,Annual,20581925.0,3,0,12.314655819294035,26.0,63.2,26.2,24.76732790964702
C00226,20,325000,6500000,3.9,Business,Large,Hospital,3,1,1753089.0,1,Dedicated,3951040.0,8,11.5,Monthly,12204129.0,3,0,6.3791984827643775,63.6,63.2,56.8,33.90959924138219
C00228,50,270000,13500000,9.9,Business,Medium,Small Business,1,0,0.0,1,Dedicated,3660075.0,5,8.2,Annual,17160075.0,2,0,9.890361328594572,26.0,35.6,26.2,19.415180664297285
C00229,300,205000,61500000,6.8,Business,Large,Enterprise,2,0,0.0,1,Shared,5395359.0,3,2.3,Monthly,66895359.0,2,1,45.1265566599426,43.8,35.6,56.8,45.1832783299713
C00230,100,255000,25500000,2.9,Business,Large,ISP Partner,3,1,618053.0,1,VPS,8199321.0,5,6.6,Monthly,34317374.0,3,0,22.045875287705414,63.6,63.2,56.8,41.7429376438527
C00231,100,290000,29000000,3.2,Government,Large,Government,3,1,1883186.0,1,Dedicated,12679326.0,5,6.9,Monthly,43562512.0,3,0,28.595822573283762,63.6,63.2,56.8,45.017911286641876
C00237,150,275000,41250000,0.7,Business,Large,ISP Partner,3,1,1013655.0,1,Shared,16198033.0,10,11.1,Monthly,58461688.0,3,1,39.15151329402304,63.6,63.2,56.8,50.295756647011515
C00238,150,255000,38250000,3.2,Business,Large,Enterprise,2,0,0.0,0,,0.0,5,4.0,Monthly,38250000.0,1,0,24.83204170230029,43.8,27.5,56.8,33.821020851150145
C00239,30,315000,9450000,0.5,Business,Large,Enterprise,2,1,770516.0,0,,0.0,5,8.0,Monthly,10220516.0,2,0,4.973858661445547,43.8,35.6,56.8,25.106929330722775
C00242,10,335000,3350000,6.4,Business,Large,Hospital,3,1,1442411.0,1,Dedicated,12041108.0,11,7.5,Annual,16833519.0,3,0,9.659004632157014,63.6,63.2,56.8,35.54950231607851
C00243,150,230000,34500000,3.0,Business,Large,Hospital,3,1,1517378.0,1,VPS,2701298.0,5,9.9,Monthly,38718676.0,3,0,25.164086837160983,63.6,63.2,56.8,43.302043418580496
C00244,100,280000,28000000,5.1,Government,Large,Government,3,1,684835.0,1,Shared,14800338.0,5,3.1,Monthly,43485173.0,3,0,28.54102984080975,63.6,63.2,56.8,44.99051492040488
C00245,100,300000,30000000,2.8,Business,Large,University,2,1,1671160.0,0,,0.0,8,6.3,Monthly,31671160.0,2,0,20.171099356144477,43.8,35.6,56.8,32.70554967807224
C00247,50,305000,15250000,1.6,Business,Small,Small Business,1,0,0.0,1,Shared,9677475.0,5,5.9,Monthly,24927475.0,2,0,15.393368481759971,26.0,35.6,25.8,22.106684240879986
C00248,100,290000,29000000,1.8,Business,Small,Small Business,1,1,542645.0,1,VPS,2705102.0,6,7.6,Monthly,32247747.0,3,0,20.5795967150319,26.0,63.2,25.8,28.839798357515953
C00250,100,295000,29500000,3.9,Business,Medium,Small Business,1,1,1705319.0,0,,0.0,7,7.5,Monthly,31205319.0,2,0,19.841062747338736,26.0,35.6,26.2,24.39053137366937
C00252,200,220000,44000000,3.4,Business,Medium,Small Business,1,1,1949401.0,0,,0.0,11,13.8,Monthly,45949401.0,2,1,30.286873277613633,26.0,35.6,26.2,29.613436638806817
C00253,100,265000,26500000,1.9,Business,Large,ISP Partner,3,1,1154836.0,1,Dedicated,8358401.0,6,5.2,Monthly,36013237.0,3,0,23.247351485633747,63.6,63.2,56.8,42.34367574281687
C00254,20,325000,6500000,6.1,Business,Medium,Small Business,1,0,0.0,0,,0.0,5,6.9,Monthly,6500000.0,1,0,2.3379668364505273,26.0,27.5,26.2,14.423983418225264
C00257,200,220000,44000000,5.5,Business,Large,Hospital,3,1,1950766.0,1,VPS,6746504.0,12,11.8,Annual,52697270.0,3,1,35.06756841055684,63.6,63.2,56.8,48.25378420527842
C00261,150,280000,42000000,1.1,Business,Large,ISP Partner,3,1,394268.0,1,VPS,16960424.0,6,6.1,Monthly,59354692.0,3,1,39.78418412336173,63.6,63.2,56.8,50.61209206168087
C00263,30,305000,9150000,9.3,Business,Medium,Small Business,1,1,661101.0,0,,0.0,2,3.7,Annual,9811101.0,2,0,4.683798451643914,26.0,35.6,26.2,16.811899225821957
C00265,150,230000,34500000,5.3,Business,Medium,Small Business,1,1,548026.0,1,VPS,4132342.0,7,5.3,Annual,39180368.0,3,0,25.491183984025987,26.0,63.2,26.2,31.355591992012993
C00270,300,205000,61500000,7.1,Business,Medium,Small Business,1,1,1801226.0,0,,0.0,5,4.9,Annual,63301226.0,2,1,42.58020400546005,26.0,35.6,26.2,35.76010200273002
C00271,100,295000,29500000,4.6,Government,Large,Government,3,1,327767.0,1,Shared,18487136.0,9,8.8,Monthly,48314903.0,3,1,31.9627718314189,63.6,63.2,56.8,46.70138591570945
C00275,200,230000,46000000,5.4,Business,Small,Small Business,1,1,1574536.0,0,,0.0,5,5.4,Annual,47574536.0,2,1,31.43824046996364,26.0,35.6,25.8,30.129120234981823
C00279,150,235000,35250000,4.5,Business,Medium,Small Business,1,0,0.0,0,,0.0,1,5.7,Monthly,35250000.0,1,0,22.706617305527086,26.0,27.5,26.2,24.608308652763544
C00281,200,255000,51000000,4.3,Business,Small,Small Business,1,0,0.0,0,,0.0,1,3.3,Monthly,51000000.0,1,1,33.86509538858642,26.0,27.5,25.8,30.12754769429321
